Iteration,Pattern,CPU Load (%),Execution Time (ms),Energy Consumed (J)
143,VisitorPattern,0.00,0.14,0.0000
143,NonVisitorPattern,0.00,0.13,0.0000
144,VisitorPattern,0.00,0.13,0.0000
144,NonVisitorPattern,0.00,0.14,0.0000
145,VisitorPattern,0.00,0.14,0.0000
145,NonVisitorPattern,0.00,0.14,0.0000
146,VisitorPattern,0.00,0.15,0.0000
146,NonVisitorPattern,0.00,0.13,0.0000
147,VisitorPattern,0.00,0.14,0.0000
147,NonVisitorPattern,0.00,0.13,0.0000
148,VisitorPattern,0.00,0.22,0.0000
148,NonVisitorPattern,0.00,0.16,0.0000
149,VisitorPattern,0.00,0.15,0.0000
149,NonVisitorPattern,0.00,0.14,0.0000
150,VisitorPattern,0.00,0.13,0.0000
150,NonVisitorPattern,0.00,0.13,0.0000
151,VisitorPattern,0.00,0.16,0.0000
151,NonVisitorPattern,0.00,0.15,0.0000
152,VisitorPattern,0.00,0.14,0.0000
152,NonVisitorPattern,0.00,0.13,0.0000
153,VisitorPattern,0.00,0.14,0.0000
153,NonVisitorPattern,0.00,0.16,0.0000
154,VisitorPattern,0.00,0.14,0.0000
154,NonVisitorPattern,0.00,0.14,0.0000
155,VisitorPattern,0.00,0.15,0.0000
155,NonVisitorPattern,0.00,0.14,0.0000
156,VisitorPattern,0.00,0.16,0.0000
156,NonVisitorPattern,0.02,0.45,0.2344
157,VisitorPattern,0.00,0.15,0.0000
157,NonVisitorPattern,0.00,0.14,0.0000
158,VisitorPattern,0.00,0.15,0.0000
158,NonVisitorPattern,0.00,0.14,0.0000
159,VisitorPattern,0.00,0.19,0.0000
159,NonVisitorPattern,0.00,0.15,0.0000
160,VisitorPattern,0.00,0.15,0.0000
160,NonVisitorPattern,0.00,0.16,0.0000
161,VisitorPattern,0.00,0.15,0.0000
161,NonVisitorPattern,0.00,0.20,0.0000
162,VisitorPattern,0.00,0.17,0.0000
162,NonVisitorPattern,0.00,0.14,0.0000
163,VisitorPattern,0.00,0.15,0.0000
163,NonVisitorPattern,0.00,0.14,0.0000
164,VisitorPattern,0.00,0.16,0.0000
164,NonVisitorPattern,0.00,0.15,0.0000
165,VisitorPattern,0.00,0.16,0.0000
165,NonVisitorPattern,0.00,0.18,0.0000
166,VisitorPattern,0.00,0.15,0.0000
166,NonVisitorPattern,0.00,0.13,0.0000
167,VisitorPattern,0.00,0.15,0.0000
167,NonVisitorPattern,0.00,0.16,0.0000
168,VisitorPattern,0.00,0.15,0.0000
168,NonVisitorPattern,0.00,0.13,0.0000
169,VisitorPattern,0.00,0.13,0.0000
169,NonVisitorPattern,0.00,0.14,0.0000
170,VisitorPattern,0.00,0.19,0.0000
170,NonVisitorPattern,0.00,0.14,0.0000
171,VisitorPattern,0.00,0.14,0.0000
171,NonVisitorPattern,0.00,0.13,0.0000
172,VisitorPattern,0.00,0.13,0.0000
172,NonVisitorPattern,0.00,0.14,0.0000
173,VisitorPattern,0.00,0.14,0.0000
173,NonVisitorPattern,0.00,0.13,0.0000
